,0
is_sm_ips_ports,2
ct_ftp_cmd,4
is_ftp_login,4
ct_state_ttl,7
dttl,9
attack_cat,10
ct_flw_http_mthd,11
state,11
service,12
sttl,13
trans_depth,14
dwin,19
swin,22
ct_dst_sport_ltm,35
ct_dst_ltm,52
ct_src_ltm,52
ct_src_dport_ltm,52
ct_srv_dst,57
ct_srv_src,57
ct_dst_src_ltm,58
proto,133
dloss,476
sloss,490
dpkts,627
spkts,646
dmean,1362
smean,1377
response_body_len,2819
dbytes,8653
sbytes,9382
ackdat,53248
synack,57366
tcprtt,63878
dur,109945
dinpkt,110270
dtcpb,114187
sinpkt,114318
stcpb,114473
djit,114861
rate,115763
dload,116380
sjit,117101
sload,121356
id,257673
