,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
dur,1.0,0.25888964672218684,0.18838234036192486,0.20442192266504136,0.14970466783285863,-0.11862200265039646,0.008617419245513788,0.05358020815019352,-0.07920224676593066,-0.0490256687050484,0.20722308734952452,0.14850567070161644,0.08021349781541463,0.14580299592877355,0.14010789665946097,0.15885217654927142,0.035650360050098064,0.019953622470589787,0.02137069231113588,0.027009231955666933,0.05518231450701947,0.050477542915502535,0.052618017948865586,0.08897244866684852,0.02999887802541622,0.0030406009976046496,0.07849710785451111,-0.10602980805597677,0.15685914213783023,-0.0808826982161172,-0.09026688291220848,-0.08842198473814515,-0.09092116141741623,0.020389864848717243,0.02033045321125935,0.023298516957460203,-0.07912563034264493,-0.10779348550324461,0.03402538108357059
spkts,0.25888964672218684,1.0,0.38322051946078217,0.9643932171558754,0.20380354104480122,-0.07366839410281704,-0.09957853033736354,0.06323409017368706,-0.04923226823327996,0.07548179965514012,0.9718594116511157,0.20471135907801094,-0.016597156440607136,-0.0023478394822311643,-0.0011915776029663304,0.015201396499895162,0.12489812947366011,0.09947285337267987,0.09678569135879381,0.12733058385887075,0.02643283544677727,0.020946468952438273,0.02900833949053545,0.2090044704991652,0.14747221131734223,0.008288403361707544,0.08597873549615556,-0.06579965681129521,-0.08195711799238949,-0.05602496042362301,-0.06323382926116272,-0.06660400792999434,-0.07203617566310347,0.01011379770106829,0.010135309267390237,0.004429953198319483,-0.05748043899448875,-0.06611805502928819,-0.016564546383087242
dpkts,0.18838234036192486,0.38322051946078217,1.0,0.18428001678584585,0.9734453279792993,-0.09306514777679203,-0.18314159791433848,0.047416427953958964,-0.06248396846308476,0.13739495863832624,0.1996399970713298,0.9796120849360007,-0.020489704768248306,-0.006819541397675672,-0.0014106373467916188,0.048143748184184654,0.16899929210737408,0.13241053846459014,0.13052272778544316,0.17242659838627947,0.008643973751526106,0.003409765726660035,0.013533997461358707,0.01392108214327575,0.42654247004961016,0.02803364864517689,0.4142171301720303,-0.07365932831952966,-0.14027872400765487,-0.06517673889559082,-0.07832419459255659,-0.08494266534399071,-0.0871760325664389,0.01320257067582376,0.01323055525713438,0.03956685652620796,-0.06901858900877939,-0.07323785226221377,-0.019895152278372203
sbytes,0.20442192266504136,0.9643932171558754,0.18428001678584585,1.0,0.009968599607925895,-0.027353154100828572,-0.01993869734769338,0.058397129552845484,-0.017319620613634543,-0.007371880901302579,0.995771577240686,0.006906657251276498,-0.006187289445816679,-0.0005517339001658629,-0.0022954584141899716,-0.0033582771583638682,0.04736322382298886,0.03839358945869892,0.03630874389067508,0.04836251760909998,0.03194326189512167,0.026178679795646254,0.0340372559431805,0.22409390082022537,-0.004395515384495834,0.0026480258735632227,0.0016305691454052665,-0.03305133543959886,-0.010485046558200047,-0.02515703081925802,-0.024495854798770814,-0.024965040754333062,-0.02929063210944545,-0.00393134815594465,-0.003929420076691581,-0.0028997997891143826,-0.0254936545872544,-0.033095305123712455,-0.005902756201664325
dbytes,0.14970466783285863,0.20380354104480122,0.9734453279792993,0.009968599607925895,1.0,-0.055537840766296434,-0.12859990308243402,0.019371094957249656,-0.03731754479125847,0.10348730620520186,0.01644795430837467,0.9967111338314709,-0.012458589800036063,-0.007564011406511196,-0.0035408405376373252,0.04170271866265857,0.10257531011439049,0.07905292710299353,0.0777455628226512,0.10461858823550879,-0.0033741757163306177,-0.006772900789959851,0.0011202549136731849,-0.03461776334245805,0.4052604691813514,0.029852567798661727,0.44115546461290756,-0.041783927996034705,-0.08400585054793556,-0.03802563068978556,-0.04625809171889817,-0.05058292123310917,-0.05066801190907852,-0.009144676183559306,-0.009139171741533324,0.042458433444788876,-0.041285586113330934,-0.041118324240739294,-0.011842074946612026
rate,-0.11862200265039646,-0.07366839410281704,-0.09306514777679203,-0.027353154100828572,-0.055537840766296434,1.0,0.40096674997165976,-0.4267663172794742,0.5875032723705219,-0.14820397037181227,-0.04199311998551128,-0.07073361119785268,-0.07241357930920173,-0.05144341128053087,-0.06251707395830898,-0.08427433480062192,-0.5214694311177006,-0.41482534636606094,-0.4145222250492155,-0.5286786546186629,-0.2819063851921062,-0.2498396872820923,-0.2782569231803284,-0.1121697849270245,-0.2684698994763696,-0.08173182812031725,-0.0225131093418038,0.3592951521082448,0.41741941662875276,0.3151929624915634,0.35093144533938714,0.3836721778202977,0.3760509871901963,-0.06257157993089899,-0.06254301273939414,-0.11000041588488868,0.3160105501437806,0.3641683843361811,-0.06843296072840666
sttl,0.008617419245513788,-0.09957853033736354,-0.18314159791433848,-0.01993869734769338,-0.12859990308243402,0.40096674997165976,1.0,-0.03247113232514839,0.2690005260611973,-0.39394251077566705,-0.042622425971731014,-0.1544015930360262,-0.1984894780943366,-0.004191130384417711,0.025303807402736283,-0.11183897188739743,-0.4009087685871256,-0.3265532141598648,-0.3242305051139621,-0.4152483823141435,0.016582000136584434,0.016055015530121227,0.01476801175132105,-0.0064142498937573705,-0.5447055389432792,-0.07785940865581585,-0.0510295340659833,0.334823972520244,0.6314306380218786,0.25449795827366056,0.3253019063403146,0.3586320015651672,0.3807920533971885,-0.11458413554961815,-0.11464666112218759,-0.13115219743832293,0.26120583717485374,0.3287751644374473,-0.21085982283943192
dttl,0.05358020815019352,0.06323409017368706,0.047416427953958964,0.058397129552845484,0.019371094957249656,-0.4267663172794742,-0.03247113232514839,1.0,-0.2852421057184783,-0.1241916312135954,0.07032287591370447,0.030394096934879457,-0.08050195896796715,0.09534711616112562,0.1448015788199174,0.10402857322877589,0.7482934838563758,0.5992840454797969,0.6013527414561317,0.7637549036274037,0.7305002717034159,0.6457139433774799,0.7230347505216553,0.18563989445206844,0.12855583067899273,0.15179084591532774,0.012978132612156162,-0.4249636969956756,-0.24808019621771527,-0.3807880835806661,-0.36150684423096124,-0.38043833858806736,-0.3922125659485237,0.08939438364562247,0.08900912359481616,0.21783070674300087,-0.37897473472427934,-0.4379342322607618,-0.09044737198842899
sload,-0.07920224676593066,-0.04923226823327996,-0.06248396846308476,-0.017319620613634543,-0.03731754479125847,0.5875032723705219,0.2690005260611973,-0.2852421057184783,1.0,-0.10192446246206878,-0.027949439811154164,-0.047536746122270185,-0.0463848036893195,-0.03436140568515084,-0.04148088307471893,-0.056308171150671514,-0.35576194330372,-0.27796005562450615,-0.2777420557101455,-0.35422114370922997,-0.1882591850650696,-0.1668491162076694,-0.18581697456501187,0.23323112694900397,-0.1810256964762152,-0.05460979692627191,-0.01507601678590092,0.14434933592215923,0.26953417962860665,0.08132804523909869,0.10445061541056208,0.08360139104580827,0.15594968067067438,-0.04192453577520954,-0.041906414227808324,-0.07351311936730878,0.09297845163505296,0.14701348974229306,-0.045732238448183624
dload,-0.0490256687050484,0.07548179965514012,0.13739495863832624,-0.007371880901302579,0.10348730620520186,-0.14820397037181227,-0.39394251077566705,-0.1241916312135954,-0.10192446246206878,1.0,0.008457493658424102,0.1212026851250362,-0.03586694478150814,-0.024266968464733495,-0.02909928773566964,-0.03238965250078268,0.25447954796215777,0.20221900039372528,0.20172354068221807,0.2601003533344731,-0.12741546449564714,-0.11257923136999733,-0.1261693386679862,-0.08397434439169925,0.5475623963387841,-0.027966230263301976,0.024801646616509118,-0.07207315818402579,-0.35868386896199855,-0.09046760156131385,-0.1330322914128236,-0.14162976103810293,-0.15090069168306647,-0.02512769270862671,-0.025078340631695423,-0.039760427346629,-0.08749765670391657,-0.07809969586504308,-0.03283349538671326
