,0
sload,743942.3125
id,128837.0
rate,2955.664893
dload,1747.441284
sbytes,528.0
sttl,254.0
dbytes,178.0
smean,73.0
dmean,44.0
dttl,29.0
ct_srv_src,5.0
spkts,4.0
ct_srv_dst,4.0
ct_dst_src_ltm,3.0
ct_src_ltm,3.0
dpkts,2.0
ct_dst_ltm,2.0
ct_dst_sport_ltm,1.0
ct_state_ttl,1.0
ct_src_dport_ltm,1.0
sjit,0.673637
sinpkt,0.381696
dinpkt,0.007
dur,0.004285
ackdat,0.0
synack,0.0
tcprtt,0.0
dwin,0.0
dtcpb,0.0
stcpb,0.0
swin,0.0
djit,0.0
dloss,0.0
sloss,0.0
trans_depth,0.0
response_body_len,0.0
ct_ftp_cmd,0.0
is_ftp_login,0.0
ct_flw_http_mthd,0.0
is_sm_ips_ports,0.0
