feature_1,feature_2,correlation
is_ftp_login,ct_ftp_cmd,0.9989
dbytes,dloss,0.9967
sbytes,sloss,0.9958
swin,dwin,0.9805
dpkts,dloss,0.9796
ct_srv_src,ct_srv_dst,0.9795
dpkts,dbytes,0.9734
spkts,sloss,0.9719
spkts,sbytes,0.9644
ct_dst_ltm,ct_src_dport_ltm,0.9615
ct_dst_src_ltm,ct_srv_dst,0.9603
ct_srv_src,ct_dst_src_ltm,0.954
tcprtt,synack,0.9431
sinpkt,is_sm_ips_ports,0.9421
tcprtt,ackdat,0.9202
ct_src_dport_ltm,ct_src_ltm,0.9094
ct_src_dport_ltm,ct_dst_sport_ltm,0.9083
ct_dst_ltm,ct_src_ltm,0.9016
