,precision,recall,f1-score,support
0,0.9003346080305927,0.9316236559139784,0.9157119303289084,93000.0
1,0.7122513089005236,0.7294630728533639,0.7207544504097203,13987.0
2,0.1254355400696864,0.061829111206526406,0.08283002588438308,2329.0
3,0.3458728652751423,0.44585091420534456,0.38954932813293086,16353.0
4,0.6750126844764068,0.6872318921953958,0.6810674857549858,44525.0
5,0.4724770642201835,0.11542771759432201,0.18552987090963674,2677.0
6,0.6692043964908743,0.54743050400066,0.6022232304900181,24246.0
7,0.42857142857142855,0.13793103448275862,0.20869565217391303,174.0
8,0.5446500402252614,0.44804765056254137,0.4916485112563544,1511.0
9,0.9957417344642548,0.9771194645920742,0.9863427096818443,58871.0
accuracy,0.8021212932670477,0.8021212932670477,0.8021212932670477,0.8021212932670477
macro avg,0.5869551670724353,0.5081955017606965,0.5264353195022695,257673.0
weighted avg,0.8021978084884624,0.8021212932670477,0.7997519593884694,257673.0
