fold,test_accuracy,test_f1_macro,test_f1_weighted,test_balanced_accuracy
0,0.800776171533909,0.5235061942774262,0.798725570674825,0.506351713091182
1,0.8015911516445134,0.5333445319060621,0.7995616973939694,0.513337375909803
2,0.8038420490928495,0.5248372804684419,0.8010721165730338,0.5092028165829523
3,0.8010439709706213,0.5206482358126866,0.7989520226368257,0.5028446891884176
4,0.8033531260915124,0.5295524520575612,0.8004648710906064,0.5092484132346514
5,0.802192684583293,0.5315237660384392,0.7992215027095118,0.5089719315051481
6,0.8009702144173863,0.5239354993697658,0.7982280550272685,0.5048347984155486
7,0.8034345590375473,0.5260645806066881,0.8007135638269927,0.5085738985067391
8,0.8022664648581519,0.5233482084652759,0.7994920008567368,0.508388828620287
9,0.8009663523110956,0.5214035102161099,0.7996810831920748,0.507551521525885
10,0.7997671485398273,0.5183806845916495,0.7970170475548796,0.5010760009370732
11,0.8042107305714563,0.5260428473421392,0.8014501481853032,0.506391108769406
12,0.7993790627728729,0.5216993551976332,0.797013314390055,0.5049235249057848
13,0.8027321768153064,0.5182464013402923,0.7998486211288498,0.5024864990707056
14,0.8025769394962549,0.532868162589148,0.80041442983106,0.5143841264138301
