,count,mean,std,min,25%,50%,75%,max,n_non_numeric_coerced_nan
id,257673.0,128837.0,74383.93229387648,1.0,64419.0,128837.0,193255.0,257673.0,0
dur,257673.0,1.2467150990092093,5.9743054045439274,0.0,8e-06,0.004285,0.685777,59.999989,0
spkts,257673.0,19.777143899438435,135.9471522771517,1.0,2.0,4.0,12.0,10646.0,0
dpkts,257673.0,18.51470274339958,111.98596523102219,0.0,0.0,2.0,10.0,11018.0,0
sbytes,257673.0,8572.951803254513,173773.88060490353,24.0,114.0,528.0,1362.0,14355774.0,0
dbytes,257673.0,14387.287542738277,146199.2819383799,0.0,0.0,178.0,1064.0,14657531.0,0
rate,257673.0,91253.91244024508,160344.6366932668,0.0,30.789277,2955.664893,125000.0003,1000000.003,0
sttl,257673.0,180.00093141307005,102.4882680176242,0.0,62.0,254.0,254.0,255.0,0
dttl,257673.0,84.7549568639322,112.7621313462377,0.0,0.0,29.0,252.0,254.0,0
sload,257673.0,70608691.22821736,185731252.8417317,0.0,12318.00488,743942.3125,80000000.0,5988000256.0,0
dload,257673.0,658214.2824903154,2412372.1381670847,0.0,0.0,1747.441284,22105.38477,22422730.0,0
sloss,257673.0,4.889317080175261,65.57495337938032,0.0,0.0,0.0,3.0,5319.0,0
dloss,257673.0,6.7436906466723325,53.7022219922424,0.0,0.0,0.0,2.0,5507.0,0
sinpkt,257673.0,912.3008341995591,6922.153239419039,0.0,0.008,0.381696,58.094727,84371.496,0
dinpkt,257673.0,98.915461567933,1094.0486911895323,0.0,0.0,0.007,56.438859,57739.24,0
sjit,257673.0,5419.372970333271,49034.49643796432,0.0,0.0,0.673637,2787.367296,1483830.917,0
djit,257673.0,582.2514561381402,3930.15336868831,0.0,0.0,0.0,119.712937,463199.2401,0
swin,257673.0,121.7536606474097,127.36744261798214,0.0,0.0,0.0,255.0,255.0,0
stcpb,257673.0,1006120340.1778029,1367794569.6251194,0.0,0.0,0.0,2007375255.0,4294958913.0,0
dtcpb,257673.0,1002295002.1407249,1363877092.4208252,0.0,0.0,0.0,1992751879.0,4294881924.0,0
dwin,257673.0,119.25462892891377,127.23047696692491,0.0,0.0,0.0,255.0,255.0,0
tcprtt,257673.0,0.046038096482751395,0.09290833731300241,0.0,0.0,0.0,0.082082,3.821465,0
synack,257673.0,0.02365186096331397,0.05385636726164227,0.0,0.0,0.0,0.036842,3.226788,0
ackdat,257673.0,0.022386235519437428,0.04577063321822746,0.0,0.0,0.0,0.044665,2.928778,0
smean,257673.0,137.6390269838128,205.90111770732503,24.0,57.0,73.0,100.0,1504.0,0
dmean,257673.0,121.64970330612832,254.04101321400012,0.0,0.0,44.0,89.0,1500.0,0
trans_depth,257673.0,0.1022419888773756,0.7105927643597819,0.0,0.0,0.0,0.0,172.0,0
response_body_len,257673.0,1968.900121471788,49625.23372487006,0.0,0.0,0.0,0.0,6558056.0,0
ct_srv_src,257673.0,9.383175575244593,10.829705811017572,1.0,2.0,5.0,12.0,63.0,0
ct_state_ttl,257673.0,1.3249777819173914,0.9922997691031127,0.0,1.0,1.0,2.0,6.0,0
ct_dst_ltm,257673.0,6.050467064845754,8.173749214246516,1.0,1.0,2.0,6.0,59.0,0
ct_src_dport_ltm,257673.0,5.2382709868709565,8.1608218899091,1.0,1.0,1.0,4.0,59.0,0
ct_dst_sport_ltm,257673.0,4.032677075207724,5.831515225173218,1.0,1.0,1.0,3.0,46.0,0
ct_dst_src_ltm,257673.0,8.3229636011534,11.120754470653859,1.0,1.0,3.0,8.0,65.0,0
is_ftp_login,257673.0,0.012818572376616875,0.11609072785399187,0.0,0.0,0.0,0.0,4.0,0
ct_ftp_cmd,257673.0,0.012849619478952004,0.11642112447774382,0.0,0.0,0.0,0.0,4.0,0
ct_flw_http_mthd,257673.0,0.13200451735338975,0.6818536452907503,0.0,0.0,0.0,0.0,30.0,0
ct_src_ltm,257673.0,6.800045018298386,8.396266203511304,1.0,2.0,3.0,8.0,60.0,0
ct_srv_dst,257673.0,9.12104877111688,10.874751841138126,1.0,2.0,4.0,11.0,62.0,0
is_sm_ips_ports,257673.0,0.014273905298576103,0.11861793933057119,0.0,0.0,0.0,0.0,1.0,0
