,n_outliers,pct_outliers,min,max
dload,57556.0,22.337,0.0,22422730.0
ct_src_dport_ltm,49014.0,19.022,1.0,59.0
ct_dst_sport_ltm,48244.0,18.723,1.0,46.0
ct_dst_src_ltm,43419.0,16.85,1.0,65.0
ct_dst_ltm,42388.0,16.45,1.0,59.0
dbytes,40024.0,15.533,0.0,14657531.0
dloss,39660.0,15.392,0.0,5507.0
spkts,34871.0,13.533,1.0,10646.0
ct_srv_dst,34048.0,13.214,1.0,62.0
dmean,33189.0,12.88,0.0,1500.0
smean,32653.0,12.672,24.0,1504.0
sbytes,32164.0,12.482,24.0,14355774.0
dpkts,29737.0,11.541,0.0,11018.0
djit,29010.0,11.258,0.0,463199.2401
ct_src_ltm,28194.0,10.942,1.0,60.0
ct_srv_src,28068.0,10.893,1.0,63.0
rate,23541.0,9.136,0.0,1000000.003
sjit,23533.0,9.133,0.0,1483830.917
sload,22034.0,8.551,0.0,5988000256.0
dur,21597.0,8.382,0.0,59.999989
synack,21327.0,8.277,0.0,3.226788
sinpkt,20319.0,7.886,0.0,84371.496
dinpkt,17588.0,6.826,0.0,57739.24
sloss,16966.0,6.584,0.0,5319.0
tcprtt,12442.0,4.829,0.0,3.821465
ackdat,8557.0,3.321,0.0,2.928778
ct_state_ttl,3763.0,1.46,0.0,6.0
sttl,0.0,0.0,0.0,255.0
dttl,0.0,0.0,0.0,254.0
swin,0.0,0.0,0.0,255.0
dtcpb,0.0,0.0,0.0,4294881924.0
dwin,0.0,0.0,0.0,255.0
stcpb,0.0,0.0,0.0,4294958913.0
