,precision,recall,f1-score,support
0,0.9560128017741041,0.8158387096774193,0.8803810540484092,93000.0
1,0.8523258487240402,0.7951669407306785,0.82275484539133,13987.0
2,0.03617129101735715,0.24516960068699012,0.06304167816726469,2329.0
3,0.35276554087126777,0.44071424203510057,0.3918658075741511,16353.0
4,0.8577594156922056,0.5222459292532285,0.6492168523326912,44525.0
5,0.06379548595117457,0.20694807620470676,0.09752662617727313,2677.0
6,0.553058295416374,0.74696857213561,0.6355517344235257,24246.0
7,0.5641025641025641,0.632183908045977,0.5962059620596206,174.0
8,0.5800865800865801,0.7094639311714097,0.638285203929741,1511.0
9,0.9900617505687552,0.983166584566255,0.9866021204786418,58871.0
accuracy,0.7596954279260923,0.7596954279260923,0.7596954279260923,0.7596954279260923
macro avg,0.5806139574204423,0.6097866494507376,0.5761431884582648,257673.0
weighted avg,0.8449323365443492,0.7596954279260923,0.7904041337864619,257673.0
