feature,importance
numeric__sbytes,0.22441354717896644
categorical__service_dns,0.1592442940421169
numeric__smean,0.11131663472696164
numeric__ct_dst_src_ltm,0.11024212801401206
numeric__sttl,0.0759761215432521
numeric__dmean,0.050314216798559595
categorical__service_http,0.041955818386902925
categorical__proto_udp,0.024283943304367603
numeric__dbytes,0.0203829060094491
numeric__ct_srv_dst,0.019396694924786757
numeric__ct_state_ttl,0.018256642822634995
categorical__service_none,0.016422760665445266
numeric__rate,0.013692389569442609
numeric__spkts,0.012117636963388611
numeric__ct_srv_src,0.00784144539996234
numeric__sload,0.00777151440645246
numeric__dload,0.005807051393204624
numeric__sjit,0.005715596385659249
numeric__synack,0.005492093208599424
numeric__tcprtt,0.005178475280331518
numeric__sloss,0.005159018994140641
numeric__stcpb,0.00479117923488804
categorical__state_FIN,0.00455746711452508
numeric__dtcpb,0.004463650151589284
numeric__dur,0.004237398131717151
numeric__djit,0.004224412312869552
numeric__ct_src_dport_ltm,0.00401644324086361
numeric__sinpkt,0.003709985503312311
numeric__ackdat,0.003675717172617909
numeric__dttl,0.0032905088967319623
numeric__ct_src_ltm,0.003201885395504339
numeric__ct_dst_ltm,0.002725002731262383
numeric__dpkts,0.0026635485590035253
numeric__dinpkt,0.0025180615740291426
numeric__trans_depth,0.0022839977860061285
numeric__response_body_len,0.0019630358456472637
numeric__dloss,0.0016941077687498026
categorical__proto_sctp,0.001065711897682057
numeric__ct_dst_sport_ltm,0.0009520849563844706
numeric__ct_flw_http_mthd,0.0006967737347244763
categorical__service_smtp,0.0006215007689743678
categorical__state_INT,0.0003297233596782199
categorical__state_CON,0.00031446081287671366
categorical__proto_other,0.0003143107390984551
numeric__dwin,0.00015626885766125022
categorical__service_ftp,7.588281183545386e-05
categorical__proto_ipv6,6.715883750421292e-05
categorical__proto_unas,5.839140364188745e-05
categorical__service_pop3,5.693425545192932e-05
categorical__proto_tcp,3.342221341936871e-05
categorical__service_dhcp,2.8115586723267868e-05
categorical__proto_sep,2.5262441600973213e-05
categorical__proto_gre,2.277182531283215e-05
numeric__swin,2.183923576646151e-05
numeric__is_ftp_login,2.1030197652927733e-05
categorical__proto_swipe,2.0591471095234027e-05
categorical__proto_pim,1.88331655746719e-05
categorical__proto_any,1.8040729755958465e-05
numeric__ct_ftp_cmd,1.6325997697603163e-05
categorical__proto_rsvp,1.6009000311394562e-05
categorical__service_ftp-data,1.4630595351916045e-05
categorical__service_irc,1.3409234085237866e-05
categorical__state_REQ,1.229967948060857e-05
categorical__proto_sun-nd,9.846196809591062e-06
categorical__service_ssl,1.0385558940871302e-06
categorical__proto_mobile,4.715964375501162e-19
categorical__proto_ospf,4.287240341364693e-20
categorical__proto_arp,0.0
numeric__is_sm_ips_ports,0.0
categorical__state_CLO,0.0
categorical__state_ECO,0.0
categorical__state_PAR,0.0
categorical__state_ACC,0.0
categorical__state_no,0.0
categorical__state_RST,0.0
categorical__state_URN,0.0
categorical__service_radius,0.0
categorical__service_snmp,0.0
categorical__service_ssh,0.0
