fold,test_accuracy,test_f1_macro,test_f1_weighted,test_balanced_accuracy
0,0.7673619869991268,0.5786256174833928,0.7939644643083498,0.6197058988067558
1,0.761637721936548,0.5743040991093008,0.7908810373014806,0.6110014053900763
2,0.7626855535073251,0.585219996968835,0.793900438673328,0.6151561225078501
3,0.7484961384716886,0.5731757269489012,0.7829348878727996,0.6022646030974685
4,0.7582954942368145,0.5704139993254026,0.7896661247311433,0.6008321056285496
5,0.7626855535073251,0.5823940587878008,0.7928647548400497,0.6140312610159786
6,0.753876006597458,0.5700546704036688,0.7864681623370521,0.5941196868299441
7,0.7519355777626856,0.5637839790706118,0.7872450327591232,0.6043999167325083
8,0.7635347537548026,0.5815856981038671,0.7916161904770467,0.6106933278750294
9,0.7601001280707882,0.5789520074050045,0.7914336961036508,0.6135386515848973
10,0.7588046958377801,0.5700634657811977,0.7901024797075996,0.6009511510732769
11,0.7587852915494324,0.574816746708321,0.7905821329895054,0.6141248047971951
12,0.7585136315125642,0.5730529338410022,0.7889185117198518,0.5971825432095696
13,0.7614584546124888,0.5863300254738195,0.7919860280361215,0.6192152354780397
14,0.7603523887142469,0.5728806914383087,0.7921255060985536,0.6116606325092173
