proto,count
tcp,123041
udp,92701
unas,15599
arp,3846
ospf,3271
sctp,1474
any,396
gre,313
rsvp,264
ipv6,262
sun-nd,255
mobile,253
swipe,253
pim,253
sep,251
prm,133
xns-idp,133
leaf-1,133
ggp,132
ip,132
ipnip,132
st2,132
chaos,132
emcon,132
nvp,132
pup,132
xnet,132
mux,132
dcn,132
trunk-1,132
trunk-2,132
leaf-2,132
irtp,132
mfe-nsp,132
merit-inp,132
3pc,132
idpr,132
ddp,132
idpr-cmtp,132
tp++,132
sdrp,132
ipv6-frag,132
ipv6-route,132
idrp,132
mhrp,132
i-nlsp,132
rvd,132
narp,132
skip,132
tlsp,132
ipv6-no,132
ipv6-opts,132
cftp,132
sat-expak,132
ippc,132
kryptolan,132
sat-mon,132
cpnx,132
wsn,132
pvp,132
br-sat-mon,132
wb-mon,132
vmtp,132
ttp,132
vines,132
nsfnet-igp,132
dgp,132
eigrp,132
tcf,132
sprite-rpc,132
larp,132
mtp,132
ax.25,132
ipip,132
aes-sp3-d,132
micp,132
encap,132
pri-enc,132
gmtp,132
ifmp,132
pnni,132
qnx,132
scps,132
cbt,132
bbn-rcc,132
igp,132
bna,132
visa,132
ipcv,132
cphb,132
iso-tp4,132
wb-expak,132
secure-vmtp,132
xtp,132
il,132
fc,132
iso-ip,132
etherip,132
aris,132
a/n,132
ipcomp,132
snp,132
compaq-peer,132
ipx-n-ip,132
pgm,132
vrrp,132
l2tp,132
zero,132
ddx,132
iatp,132
stp,132
srp,132
uti,132
sm,132
smp,132
isis,132
ptp,132
fire,132
crudp,132
sccopmce,132
iplt,132
pipe,132
sps,132
ib,132
argus,131
egp,131
hmp,131
rdp,131
netblt,131
crtp,131
igmp,48
icmp,15
rtp,1
